SUB_TXT,STATION,DISTRICT,REGION
BROADWATER,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
BROADWOOD,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BROCKMAN,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
BROKE,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
BROKE INLET,WALPOLE,GREAT SOUTHERN,REGIONAL WA REGION
BROMUS,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BROOKDALE,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
BROOKHAMPTON,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
BROOKING GORGE,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
BROOKING SPRINGS STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
BROOKTON,BROOKTON,GREAT SOUTHERN,REGIONAL WA REGION
BROOME,BROOME,KIMBERLEY,REGIONAL WA REGION
BROOMEHILL,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
BROOMEHILL EAST,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
BROOMEHILL VILLAGE,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
BROOMEHILL WEST,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
BROWN HILL,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BROWN RANGE,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
BRUCE ROCK,BRUCE ROCK,WHEATBELT,REGIONAL WA REGION
BRUNSWICK,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
BRUNSWICK BAY,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
BRUNSWICK JUNCTION,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
BRYAH STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
BUCKINGHAM,COLLIE,SOUTH WEST,REGIONAL WA REGION
BUCKLAND,NORTHAM,WHEATBELT,REGIONAL WA REGION
BULGA DOWNS STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
BULGARRA,KARRATHA,PILBARA,REGIONAL WA REGION
BULGIN ROCK,CUNDERDIN,WHEATBELT,REGIONAL WA REGION
BULKULING,QUAIRADING,WHEATBELT,REGIONAL WA REGION
BULL CREEK,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
BULLABULLING,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BULLARA STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
BULLARING,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
BULLDANA,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BULLER,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
BULLEURA STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
BULLFINCH,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
BULLOCK HILLS,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
BULLSBROOK,ELLENBROOK,MIDLAND,METROPOLITAN REGION NORTH
BULONG,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BULYEE,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
BUNBURY,BUNBURY,SOUTH WEST,REGIONAL WA REGION
BUNDANOON,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
BUNDARRA STATION,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BUNGULLA,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
BUNICHE,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
BUNJIL,PERENJORI,MID WEST-GASCOYNE,REGIONAL WA REGION
BUNKER BAY,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
BUNNAWARRA STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
BUNTINE,DALWALLINU,WHEATBELT,REGIONAL WA REGION
BURABADJI,GOOMALLING,WHEATBELT,REGIONAL WA REGION
BURAKIN,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
BURAMINYA,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BURBANKS,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BUREKUP,BUNBURY,SOUTH WEST,REGIONAL WA REGION
BURGES,YORK,WHEATBELT,REGIONAL WA REGION
BURGES SIDING,YORK,WHEATBELT,REGIONAL WA REGION
BURLONG,NORTHAM,WHEATBELT,REGIONAL WA REGION
BURMA ROAD,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
BURNABINMAH STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
BURNS,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
BURNS BEACH,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
BURNSIDE,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
BURRACOPPIN,MERREDIN,WHEATBELT,REGIONAL WA REGION
BURRAN ROCK,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
BURREP PENINSULAR,DAMPIER,PILBARA,REGIONAL WA REGION
BURRIL,MARBLE BAR,PILBARA,REGIONAL WA REGION
BURRUP,DAMPIER,PILBARA,REGIONAL WA REGION
BURSWOOD,PERTH,PERTH,METROPOLITAN REGION NORTH
BURTVILLE,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
BUSHMEAD,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
BUSSELTON,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
BUTLER,CLARKSON,JOONDALUP,METROPOLITAN REGION NORTH
BYBERDING,GOOMALLING,WHEATBELT,REGIONAL WA REGION
BYFORD,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
BYRO STATION,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
CABLE BEACH,BROOME,KIMBERLEY,REGIONAL WA REGION
CADDADUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
CADOUX,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
CAIGUNA,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAIRLOCUP,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
CAITUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CALGARDUP,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
CALINGIRI,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
CALISTA,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
CALJIE,YORK,WHEATBELT,REGIONAL WA REGION
CALLAGIDDY STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
CALLAWA STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CALLCUP,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
CALLION,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CALLYTHARRA STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
CALOOLI,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CALULYU STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
CALWYNYARDAH STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
CAMBALLIN,LOOMA,KIMBERLEY,REGIONAL WA REGION
CAMBRIDGE GULF,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
CAMILLO,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
CAMP CURLEWIS,PANNAWONICA,PILBARA,REGIONAL WA REGION
CAMP NIFTY,MARBLE BAR,PILBARA,REGIONAL WA REGION
CAMPION,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
CANAL ROCK,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
CANCANNING,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
CANDLELIGHT,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
CANDYUP,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CANE,PANNAWONICA,PILBARA,REGIONAL WA REGION
CANE RIVER,PANNAWONICA,PILBARA,REGIONAL WA REGION
CANEGRASS SWAMP,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CANEHILL,TOM PRICE,PILBARA,REGIONAL WA REGION
CANNA,MORAWA,MID WEST-GASCOYNE,REGIONAL WA REGION
CANNING DAM,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
CANNING MILLS,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
CANNING STK RTE WELL16-49,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CANNING STOCK ROUTE (WELL,MARBLE BAR,PILBARA,REGIONAL WA REGION
CANNING VALE,CANNING VALE,ARMADALE,METROPOLITAN REGION SOUTH
CANNING WEIR,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
CANNINGDALE,CANNING VALE,ARMADALE,METROPOLITAN REGION SOUTH
CANNINGTON,CANNINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
CAPE ARID,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAPE BOSSUT,BROOME,KIMBERLEY,REGIONAL WA REGION
CAPE BURNEY,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
CAPE CUVIER,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
CAPE INSCRIPTION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CAPE KERAUDREN,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CAPE LAMBERT,ROEBOURNE,PILBARA,REGIONAL WA REGION
CAPE LE GRAND,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAPE LE GRANDE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAPE LEEUWIN,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
CAPE LEVEQUE,DAMPIER PENINSULA,KIMBERLEY,REGIONAL WA REGION
CAPE LONDONDERRY,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CAPE NATURALISTE,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
CAPE PASLEY,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAPE PRESTON,KARRATHA,PILBARA,REGIONAL WA REGION
CAPE RANGE,EXMOUTH,PILBARA,REGIONAL WA REGION
CAPE RANGE NATIONAL PARK,EXMOUTH,PILBARA,REGIONAL WA REGION
CAPE RICHE,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CAPE THOUIN,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CAPE VANCOUVER,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CAPE VILLARET,BROOME,KIMBERLEY,REGIONAL WA REGION
CAPE VOLTAIRE,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CAPEL,CAPEL,SOUTH WEST,REGIONAL WA REGION
CAPEL RIVER,CAPEL,SOUTH WEST,REGIONAL WA REGION
CAPERCUP,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
CAPRICORN,NEWMAN,PILBARA,REGIONAL WA REGION
CARABAN,LANCELIN,WHEATBELT,REGIONAL WA REGION
CARABOODA,YANCHEP,JOONDALUP,METROPOLITAN REGION NORTH
CARANI,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
CARAWINE GORGE,NULLAGINE,PILBARA,REGIONAL WA REGION
CARBALA,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CARBARUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
CARBLA,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CARBUNUP,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
CARBUNUP RIVER,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
CARCOOLA,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
CARDABIA STATION,EXMOUTH,PILBARA,REGIONAL WA REGION
CARDIFF,COLLIE,SOUTH WEST,REGIONAL WA REGION
CARDOO,TOM PRICE,PILBARA,REGIONAL WA REGION
CARDUP,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
CAREY DOWNS,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
CAREY PARK,BUNBURY,SOUTH WEST,REGIONAL WA REGION
CARILLA,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
CARINE,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
CARINYAH,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
CARLAMINDA STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
CARLINDI STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CARLISLE,KENSINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
CARLOTTA,NANNUP,SOUTH WEST,REGIONAL WA REGION
CARLOTTA BROOK,NANNUP,SOUTH WEST,REGIONAL WA REGION
CARLTON HILL STATION,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
CARLTON REACH,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CARLTON RIVER,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CARMEL,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
CARMELIA STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CARNAC ISLAND,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
CARNAMAH,CARNAMAH,MID WEST-GASCOYNE,REGIONAL WA REGION
CARNARVON,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
CARNEGIE STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CARNOT BAY,BROOME,KIMBERLEY,REGIONAL WA REGION
CAROLING,QUAIRADING,WHEATBELT,REGIONAL WA REGION
CARON,PERENJORI,MID WEST-GASCOYNE,REGIONAL WA REGION
CAROT WELL,MOORA,WHEATBELT,REGIONAL WA REGION
CARRABIN,MERREDIN,WHEATBELT,REGIONAL WA REGION
CARRAMAR,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
CARRANYA STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
CARRARANG,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CARRARRANG STATION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CARRAWINL,MARBLE BAR,PILBARA,REGIONAL WA REGION
CARROLUP,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
CARSON RIVER STATION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CARTAMULLIGAN ROCKS,GOOMALLING,WHEATBELT,REGIONAL WA REGION
CARTMETICUP,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
CASCADE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CASCADES,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CASHMERE DOWNS STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
CASTLETOWN,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CASUARINA,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
CATABY,MOORA,WHEATBELT,REGIONAL WA REGION
CATTERICK,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
CATTLE CREEK,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
CATTLE GORGE,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CAVE HILL,YORK,WHEATBELT,REGIONAL WA REGION
CAVE ROCKS,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CAVE SPRINGS,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
CAVERSHAM,KIARA,MIDLAND,METROPOLITAN REGION NORTH
CENTENNIAL PARK,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CERVANTES,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
CHADORA,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
CHADWICK,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CHALLA STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
CHALLENGER,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
CHAMBERLAIN RIVER,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
CHAMPION LAKES,GOSNELLS,ARMADALE,METROPOLITAN REGION SOUTH
CHANDLER,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
CHANGERUP,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
CHANNYBEARUP,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
CHAPMAN,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
CHAPMAN EAST,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
CHAPMAN HILL,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
CHAPMAN VALLEY,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
CHAPMANS HILL,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
CHARLEY CREEK,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
CHEDARING,WUNDOWIE,WHEATBELT,REGIONAL WA REGION
CHERATTA STATION,ROEBOURNE,PILBARA,REGIONAL WA REGION
CHERRABUN STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
CHERRY TREE POOL,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
CHEYNE BAY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CHEYNE BEACH,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CHEYNES,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CHICHESTER,ROEBOURNE,PILBARA,REGIONAL WA REGION
CHIDDINUP,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
CHIDLEY POINT,FREMANTLE,FREMANTLE,METROPOLITAN REGION SOUTH
CHIDLOW,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
CHIFLEY SIDING,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CHINAMAN GARDEN,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
CHINDAWARRA,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
CHINGANNING,WUNDOWIE,WHEATBELT,REGIONAL WA REGION
CHINNINUP,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
CHITIBIN,NORTHAM,WHEATBELT,REGIONAL WA REGION
CHITTERING,GINGIN,WHEATBELT,REGIONAL WA REGION
CHORKERUP,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CHORKERUP SIDING,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
CHOWERUP,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
CHRISTMAS CREEK STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
CHRISTMAS ISLAND,AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
CHRISTMAS ISLAND SHIRE,AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
CHURCHLANDS,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
CHURCHMANS BROOK,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
CIRCLE VALLEY,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CITY BEACH,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
CLACKLINE,NORTHAM,WHEATBELT,REGIONAL WA REGION
CLAREMONT,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
CLARKSON,CLARKSON,JOONDALUP,METROPOLITAN REGION NORTH
CLAYMORE,NANNUP,SOUTH WEST,REGIONAL WA REGION
CLEARY,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
CLEAVERVILLE,ROEBOURNE,PILBARA,REGIONAL WA REGION
CLIFF HEAD,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
CLIFTON,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
CLIFTON PARK,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
CLOVER DOWNS STATION,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CLOVERDALE,BELMONT,CANNINGTON,METROPOLITAN REGION SOUTH
COACHWOOD ESTATE,BUNBURY,SOUTH WEST,REGIONAL WA REGION
COALMINE BEACH,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
COALSEAM PARK,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
COBBLER POOL,TOODYAY,WHEATBELT,REGIONAL WA REGION
COBLININE,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
COBRA STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
COBURN,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
COBURN STATION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
COCANARUP,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
COCKATOO ISLAND,DERBY,KIMBERLEY,REGIONAL WA REGION
COCKATOO SPRINGS,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
COCKBURN,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
COCKBURN CENTRAL,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
COCKLEBIDDY,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COCKLEBIDDY ROADHOUSE,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COCKLESHELL GULLEY,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
COCKMAN,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
COCONUT WELLS,BROOME,KIMBERLEY,REGIONAL WA REGION
COCOS (KEELING) ISLANDS,AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
COCOS ISLAND,AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
CODJATOTINE,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
COLCONGINE SPRINGS,YORK,WHEATBELT,REGIONAL WA REGION
COLD HARBOUR,YORK,WHEATBELT,REGIONAL WA REGION
COLGA DOWNS STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
COLLANILLING,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
COLLEGE GROVE,BUNBURY,SOUTH WEST,REGIONAL WA REGION
COLLGAR,MERREDIN,WHEATBELT,REGIONAL WA REGION
COLLIE,COLLIE,SOUTH WEST,REGIONAL WA REGION
COLLIE BRIDGE,COLLIE,SOUTH WEST,REGIONAL WA REGION
COLLIE BURN,COLLIE,SOUTH WEST,REGIONAL WA REGION
COLLIE CARDIFF,COLLIE,SOUTH WEST,REGIONAL WA REGION
COLLIER BAY,DERBY,KIMBERLEY,REGIONAL WA REGION
COLLINGWOOD HEIGHTS,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
COLLINGWOOD PARK,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
COLLINS,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
COLLINS SIDING,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
COMET GOLD MINE,MARBLE BAR,PILBARA,REGIONAL WA REGION
COMMODINE,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
COMO,KENSINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
CONDINGUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
CONDON,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
CONE BAY,DERBY,KIMBERLEY,REGIONAL WA REGION
CONGELIN,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
CONNOLLY,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
CONSPICUOUS CLIFF,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
CONTINE,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
CONTINE SIDING,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
COODANUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
COODARDY STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
COOGEE,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
COOGEE BEACH,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
COOKE POINT,PORT HEDLAND,PILBARA,REGIONAL WA REGION
COOKERNUP,YARLOOP,SOUTH WEST,REGIONAL WA REGION
COOKES CREEK,NULLAGINE,PILBARA,REGIONAL WA REGION
COOLADAR HILL,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
COOLARING HILL,YORK,WHEATBELT,REGIONAL WA REGION
COOLAWANYAH STATION,TOM PRICE,PILBARA,REGIONAL WA REGION
COOLBELLUP,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
COOLBINIA,MORLEY,MIRRABOOKA,METROPOLITAN REGION NORTH
COOLCALALAYA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
COOLGARDIE,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COOLINGOORT,TOODYAY,WHEATBELT,REGIONAL WA REGION
COOLJARLOO,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
COOLOONGUP,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
COOLUP,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
COOMALBIDGUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COOMBERDALE,MOORA,WHEATBELT,REGIONAL WA REGION
COOMBRA OUTSTATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
COOMELBERRUP,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
COONABIDGEE,GINGIN,WHEATBELT,REGIONAL WA REGION
COONANA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COONANA DOWNS STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COONDINA TIN MINE,NULLAGINE,PILBARA,REGIONAL WA REGION
COONDLE,TOODYAY,WHEATBELT,REGIONAL WA REGION
COONGAN RIVER,MARBLE BAR,PILBARA,REGIONAL WA REGION
COONGAN STATION,MARBLE BAR,PILBARA,REGIONAL WA REGION
COORALYA,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
COOROW,CARNAMAH,MID WEST-GASCOYNE,REGIONAL WA REGION
COOYA POOYA,ROEBOURNE,PILBARA,REGIONAL WA REGION
COPLEY,WUNDOWIE,WHEATBELT,REGIONAL WA REGION
COPPER FIELD,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
COPPER HILLS MINE,NULLAGINE,PILBARA,REGIONAL WA REGION
COPPESTONE,BUNBURY,SOUTH WEST,REGIONAL WA REGION
CORABELLA STATION,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
CORACKERUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
CORAL BAY,EXMOUTH,PILBARA,REGIONAL WA REGION
CORAL PARK,BUNBURY,SOUTH WEST,REGIONAL WA REGION
CORDERING,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
